x,y,curie
-1910000,-50000,8.638636870570569
-1910000,-40000,8.175027283224136
-1910000,-30000,8.207978185294424
-1910000,-20000,8.959864256352857
-1910000,-10000,9.985035716745514
-1910000,0,10.730782388128478
-1910000,10000,10.708276724006843
-1910000,20000,9.937372610227214
-1910000,30000,8.859283872180347
-1910000,40000,7.943469781673467
-1910000,50000,7.65546441154427
-1910000,60000,7.897509935249099
-1910000,70000,8.505259631466629
-1910000,80000,8.981036453829768
-1910000,90000,9.200876908380048
-1910000,100000,9.275813369704363
-1910000,110000,9.174211229598095
-1910000,120000,9.150373624735064
-1910000,130000,9.390866683489147
-1910000,140000,9.721612549590443
-1900000,-90000,11.474313759626932
-1900000,-80000,11.046945697521362
-1900000,-70000,10.546618641708791
-1900000,-60000,9.914268940085268
-1900000,-50000,9.180587219316141
-1900000,-40000,8.856767320193908
-1900000,-30000,9.02286717577088
-1900000,-20000,9.717109722340668
-1900000,-10000,10.547538742314025
-1900000,0,11.012129136789811
-1900000,10000,10.826091332416144
-1900000,20000,9.947779522055848
-1900000,30000,8.78457168215043
-1900000,40000,7.841150713159446
-1900000,50000,7.535021237404227
-1900000,60000,7.861677056847007
-1900000,70000,8.42370602418782
-1900000,80000,8.849477391216036
-1900000,90000,8.873411223895108
-1900000,100000,8.80732480194414
-1900000,110000,8.753435335491677
-1900000,120000,8.844807450556836
-1900000,130000,9.137844251514533
-1900000,140000,9.641828388898492
-1900000,150000,10.149795325039063
-1900000,160000,10.621435673941395
-1890000,-100000,12.361635945525943
-1890000,-90000,11.880546531443407
-1890000,-80000,11.424460298370034
-1890000,-70000,10.928036506314768
-1890000,-60000,10.341196938227592
-1890000,-50000,9.81879740358662
-1890000,-40000,9.702257423951108
-1890000,-30000,9.97280448660937
-1890000,-20000,10.528479665196635
-1890000,-10000,11.059203367845424
-1890000,0,11.198777791243156
-1890000,10000,10.79384597567877
-1890000,20000,9.743187278629058
-1890000,30000,8.44862012017237
-1890000,40000,7.430332614186688
-1890000,50000,7.084994920096846
-1890000,60000,7.537832644321401
-1890000,70000,8.105583723425767
-1890000,80000,8.361790822991999
-1890000,90000,8.330821729777592
-1890000,100000,8.243298027979886
-1890000,110000,8.382470575446005
-1890000,120000,8.668931840411116
-1890000,130000,9.094100035967491
-1890000,140000,9.68472258475097
-1890000,150000,10.280014972941217
-1890000,160000,10.756673607238143
-1880000,-90000,12.325058921360245
-1880000,-80000,11.843537174073106
-1880000,-70000,11.422755104717
-1880000,-60000,10.984141485284212
-1880000,-50000,10.629489334509554
-1880000,-40000,10.624210685826743
-1880000,-30000,10.92511997642848
-1880000,-20000,11.392751884028234
-1880000,-10000,11.725498280118078
-1880000,0,11.452371976035217
-1880000,10000,10.706321406148751
-1880000,20000,9.455099666531055
-1880000,30000,8.129698761576003
-1880000,40000,7.148552045869701
-1880000,50000,6.893449866204915
-1880000,60000,7.15122817535467
-1880000,70000,7.654195391833623
-1880000,80000,7.794812506949186
-1880000,90000,7.683457316290025
-1880000,100000,7.710729000059248
-1880000,110000,8.042301574050557
-1880000,120000,8.56231504130282
-1880000,130000,9.172425921894718
