x,y,h,z,h_z,t
-1970000,270000,72.0,12066.482469474444,-11994.482469474444,580
-1960000,-190000,69.0,14052.993245855769,-13983.993245855769,580
-1960000,-120000,234.8,10377.257525022364,-10142.457525022364,580
-1960000,-60000,51.9,8149.175530293236,-8097.275530293236,580
-1960000,-50000,255.0,8497.065698084178,-8242.065698084178,580
-1960000,-40000,116.0,8576.899370426705,-8460.899370426705,580
-1960000,-30000,67.2,8259.384657975832,-8192.184657975831,580
-1960000,-20000,254.5,8409.803300409543,-8155.303300409543,580
-1960000,-10000,254.1,8835.03295003497,-8580.93295003497,580
-1960000,20000,18.0,8044.7675560028865,-8026.7675560028865,580
-1960000,30000,262.0,7473.147896952394,-7211.147896952394,580
-1960000,50000,174.8,6863.263574477365,-6688.463574477365,580
-1960000,70000,6.0,6859.301087254162,-6853.301087254162,580
-1960000,80000,86.8,7376.525562605315,-7289.725562605315,580
-1960000,90000,331.8,8424.749169969233,-8092.949169969233,580
-1960000,100000,7.0,9469.56852561893,-9462.56852561893,580
-1960000,110000,5.0,10182.298426603855,-10177.298426603855,580
-1960000,120000,672.0,10534.6524150865,-9862.6524150865,580
-1960000,130000,4.3,10740.560032409361,-10736.260032409362,580
-1960000,140000,2.0,10885.667024607048,-10883.667024607048,580
-1950000,-180000,60.9,13945.870272405007,-13884.970272405008,580
-1950000,-120000,350.1,10788.312548180433,-10438.212548180432,580
-1950000,-110000,230.3,10359.542380307748,-10129.242380307749,580
-1950000,-70000,58.1,8025.095469021009,-7966.995469021009,580
-1950000,-50000,6.7,8086.424117732461,-8079.724117732461,580
-1950000,-40000,310.0,8059.134232265752,-7749.134232265752,580
-1950000,-30000,153.8,7933.732212868183,-7779.932212868182,580
-1950000,-20000,249.3,8009.310230297139,-7760.010230297139,580
-1950000,-10000,511.9,8585.531642448537,-8073.631642448538,580
-1950000,0,404.5,9417.946810984758,-9013.446810984758,580
-1950000,30000,91.0,7613.434910391885,-7522.434910391885,580
-1950000,50000,35.9,6808.812911489931,-6772.9129114899315,580
-1950000,60000,1271.4,6787.382108466071,-5515.982108466071,580
-1950000,70000,41.4,7005.932201163648,-6964.532201163648,580
-1950000,110000,4.0,10246.56451635391,-10242.56451635391,580
-1950000,120000,210.7,10491.1499751065,-10280.4499751065,580
-1950000,130000,397.6,10628.691128424607,-10231.091128424607,580
-1940000,-170000,70.6,13919.52412771412,-13848.92412771412,580
-1940000,-160000,73.2,13540.18094476116,-13466.980944761159,580
-1940000,-120000,264.9,11281.45573002674,-11016.555730026741,580
-1940000,-110000,366.9,10765.876614135923,-10398.976614135923,580
-1940000,-100000,383.1,10293.043446921216,-9909.943446921216,580
-1940000,-90000,114.4,9739.170333862914,-9624.770333862914,580
-1940000,-80000,508.8,9069.774921118265,-8560.974921118266,580
-1940000,-50000,226.3,8199.603288381119,-7973.303288381118,580
-1940000,-40000,269.5,7988.759860949062,-7719.259860949062,580
-1940000,-30000,277.0,7824.213810539618,-7547.213810539618,580
