x,y,volcano
-1948593.0,-30042.0,16201.399870016416
-1948063.0,-53847.0,7659.627035403883
-1947586.0,10740.0,48949.73206747936
-1937030.0,119416.0,61065.25723102141
-1936300.0,-24256.0,21835.288600229676
-1936176.0,-24664.0,21475.220718756773
-1935727.0,-22317.0,22749.468689363275
-1935556.0,-28290.0,18801.75226411943
-1935407.0,-27498.0,19125.074699601046
-1934767.0,-28019.0,18301.649070570664
-1933942.0,-23212.0,20871.69743656035
-1933218.0,-26259.0,18202.36037194956
-1933094.0,-26667.0,17836.19869182668
-1933039.0,-25308.0,18732.435563250172
-1932995.0,-21262.0,21760.609787350164
-1932890.0,-21674.0,21369.766701611876
-1932212.0,-27560.0,16583.494696815855
-1931650.0,-27160.0,16443.181031154512
-1928625.0,-36646.0,9014.161995733119
-1928159.0,-39923.0,8445.054792381117
-1928002.0,-36832.0,8365.890933027948
-1927584.0,-36419.0,8058.505337735973
-1927124.0,-33897.0,8676.32557735814
-1926969.0,-35348.0,7845.31986927997
-1926845.0,-38202.0,7034.121771573128
-1926754.0,-39566.0,7002.383025607716
-1926735.0,-38615.0,6913.94399299843
-1926686.0,-39735.0,6961.060472824459
-1925659.0,-24380.0,15354.807641755688
-1925620.0,-36092.0,6310.755614608993
-1925538.0,-36582.0,6056.525411596894
-1925439.0,-43663.0,7545.002174210121
-1924925.0,-38379.0,5107.889177176699
-1924731.0,-33088.0,7368.0363847716435
-1924440.0,-38434.0,4621.226265973005
-1924332.0,-32938.0,7224.93682638947
-1924045.0,-40374.0,4588.378539453645
-1924020.0,-40292.0,4533.811093034067
-1923338.0,-39091.0,3553.5442327792507
-1923185.0,-38181.0,3387.650330290694
-1923082.0,-35463.0,4512.181575504095
-1923012.0,-34736.0,4997.1332533082
-1923010.0,-33840.0,5714.277387677168
-1922759.0,-34184.0,5288.778231625766
-1922451.0,-38191.0,2658.733453793095
-1922163.0,42960.0,32079.780273499488
-1921901.0,-34470.0,4607.846831364783
-1921888.0,-43267.0,4043.096872452662
-1921885.0,-43262.0,4038.4398719105006
-1921884.0,-43270.0,4040.519031688441
-1921880.0,-43265.0,4034.9316401193837
-1921876.0,-43261.0,4029.7219741858744
-1917974.0,-109402.0,45674.173698771585
-1915601.0,-4382.0,34459.13328169061
-1913595.0,-11533.0,27756.065755512205
-1910980.0,114347.0,66933.78823280214
-1910823.0,1705.0,41279.38943543517
-1910050.0,76367.0,42900.42196516955
-1909705.0,75392.0,42850.65947788437
-1905433.0,118841.0,73828.94665968626
-1904700.0,157547.0,106965.44165226843
-1903200.0,73675.0,42139.7608869207
-1903193.0,104765.0,64693.15216319266
-1901900.0,141428.0,91853.7643271839
-1901410.0,71516.0,39424.95567257181
-1895036.0,143028.0,89552.95063128763
-1893421.0,-100397.0,54851.65607218675
-1888013.0,105318.0,54911.04769808929
-1886030.0,32077.0,23652.832347726424
-1885613.0,56517.0,18133.898686593948
-1884066.0,51765.0,15137.762830512766
-1883958.0,51367.0,14956.745859833745
-1880429.0,48535.0,11195.54923533697
-1880306.0,48098.0,11088.956816538437
-1878872.0,45576.0,10140.45613018736
-1877431.0,51821.0,8758.595774509438
-1877253.0,51454.0,8467.252977645972
-1877075.0,47924.0,7881.347784830626
-1876955.0,49758.0,7787.690188563913
-1876821.0,49377.0,7613.182686607135
-1876781.0,-53087.0,39703.898218872724
-1876486.0,50118.0,7382.084902455043
-1876112.0,48629.0,6877.587055243628
-1875771.0,49098.0,6546.052064340366
-1874741.0,-86588.0,58359.43995607056
-1874038.0,73425.0,25131.64273729106
-1873694.0,94497.0,37317.59479520129
-1868862.0,155905.0,84484.17138487326
-1868028.0,57462.0,8813.020756168435
-1867750.0,-65325.0,52043.705196953495
-1864211.0,116580.0,50271.542636717284
-1861257.0,69870.0,11898.856710366406
-1861051.0,80312.0,18357.637899137015
-1860295.0,71867.0,11940.475284293816
-1860163.0,80388.0,17909.334784738137
-1860115.0,80507.0,17981.710416276626
-1859482.0,72769.0,11792.471296332727
-1859070.0,70128.0,10012.008239800403
