x,y,volcano
-1980000,75000,33453.994572191354
-1980000,80000,36015.003107541284
-1980000,105000,54190.718105928514
-1980000,110000,58434.10498019293
-1980000,115000,62788.97451652008
-1980000,120000,67233.6672868304
-1980000,125000,71751.49275684937
-1980000,130000,76329.46618990735
-1980000,135000,80957.38449848913
-1980000,145000,90332.27273148955
-1980000,260000,195839.43285886178
-1980000,265000,197518.11929663725
-1980000,270000,199308.13189250615
-1975000,-100000,3096.397567956735
-1975000,-95000,7797.061944449391
-1975000,-90000,12064.9013243201
-1975000,-85000,16743.043718678542
-1975000,-80000,21566.11188799643
-1975000,-75000,25821.749679752793
-1975000,-70000,24909.863097251528
-1975000,-65000,24984.79142446087
-1975000,-60000,25837.471155203453
-1975000,-55000,23577.53822212503
-1975000,-50000,22045.062545063618
-1975000,-45000,21588.637210712644
-1975000,-40000,22274.50853814213
-1975000,-35000,24004.962083197854
-1975000,-30000,26576.73190247
-1975000,-25000,29772.59062654385
-1975000,-20000,33413.94359568721
-1975000,-15000,37370.792079052415
-1975000,-10000,41553.10547499148
-1975000,-5000,45899.292463128084
-1975000,20000,46793.19701448286
-1975000,25000,42632.311488309046
-1975000,30000,38670.72120915522
-1975000,35000,34976.21155637368
-1975000,40000,31642.472577790246
-1975000,70000,26808.771826329674
-1975000,75000,29096.751413795457
-1975000,80000,32008.30577891007
-1975000,85000,35389.86203471565
-1975000,90000,39119.72687578746
-1975000,95000,43107.58317090171
-1975000,100000,47288.20595916288
-1975000,105000,51614.7761676461
-1975000,110000,56053.508497115574
-1975000,115000,60579.75330781901
-1975000,120000,65175.28064255809
-1975000,125000,69826.41264475934
-1975000,130000,74522.73880391278
-1975000,135000,79256.22559039894
-1975000,140000,84020.59265939635
-1975000,145000,88810.87031910119
-1975000,175000,117918.76382847731
-1975000,180000,122811.8298814744
-1975000,185000,127713.17964421764
-1975000,260000,191116.73464791258
-1975000,265000,192836.5376438828
-1975000,270000,194669.60275934357
-1970000,-105000,4023.239610758921
-1970000,-100000,976.7937170045764
-1970000,-95000,5976.771282689312
-1970000,-90000,10976.769286341936
-1970000,-85000,15976.768539525747
-1970000,-80000,20976.76814873015
-1970000,-75000,21061.176522782713
-1970000,-70000,19932.678684106002
-1970000,-65000,20026.237852472786
-1970000,-60000,21023.842553062746
-1970000,-55000,19106.90499834463
-1970000,-50000,17180.171495528415
-1970000,-45000,16590.442025930683
-1970000,-40000,17473.615556483062
-1970000,-35000,19631.905526865365
-1970000,-30000,22704.541145237155
-1970000,-25000,26373.863247840025
-1970000,-20000,30424.745465094144
-1970000,-15000,34723.90546317863
-1970000,-10000,39189.719118867986
-1970000,-5000,43771.206958636256
-1970000,15000,48878.868448811365
-1970000,25000,39937.01507168765
-1970000,30000,35677.38595856214
-1970000,35000,31635.210839129984
-1970000,40000,27905.14756879467
-1970000,70000,22274.681520421505
-1970000,75000,24981.435764107064
-1970000,80000,28319.301347953613
-1970000,85000,32091.95420718731
-1970000,90000,36163.57588563675
-1970000,95000,40443.97256497199
-1970000,100000,44873.43994877379
-1970000,105000,49411.90452549069
-1970000,110000,54031.90728482761
-1970000,115000,58714.20356980249
-1970000,120000,63445.00293038221
-1970000,125000,68214.21474176923
-1970000,130000,73014.31221915473
-1970000,135000,77839.58173600503
-1970000,140000,82685.61652933483
-1970000,145000,87548.9684510115
-1970000,175000,116971.30439913974
-1970000,180000,121902.40665727732
-1970000,270000,190049.40683538222
-1970000,275000,192039.32156326898
-1965000,-195000,69097.74925139121
-1965000,-125000,21703.633990932456
-1965000,-105000,2395.077537859455
-1965000,-100000,3795.861353152793
-1965000,-95000,7787.773427981733
-1965000,-70000,14970.70738221191
-1965000,-65000,15095.052253099828
-1965000,-60000,16322.65283879962
-1965000,-55000,14974.889936682916
-1965000,-50000,12423.03516117407
-1965000,-45000,11593.80337144663
-1965000,-40000,12825.784600396468
-1965000,-35000,15639.220716383767
-1965000,-30000,19356.386507191033
-1965000,-25000,23553.220005251238
-1965000,-20000,28014.97182964436
-1965000,-15000,32633.159831921992
-1965000,-10000,37349.80046286415
-1965000,-5000,42131.84150515815
-1965000,25000,37714.935540660896
-1965000,30000,33171.17813458254
-1965000,50000,17662.668055427148
-1965000,55000,15488.077312442842
-1965000,70000,17989.23641615193
-1965000,75000,21249.07816438649
-1965000,80000,25088.523647999034
-1965000,85000,29280.449361924195
-1965000,90000,33693.55147259201
-1965000,95000,38251.35431375217
-1965000,100000,42907.77089101935
-1965000,105000,47633.89023412015
-1965000,110000,52410.859512473246
-1965000,115000,57225.945958421755
-1965000,120000,62070.27941645024
-1965000,125000,66937.5102826226
-1965000,130000,71822.98363919594
-1965000,135000,76723.21470608623
-1965000,140000,81635.54600072329
-1965000,145000,86557.91741277171
-1965000,150000,91488.70838981282
-1965000,155000,96426.62733309824
-1960000,-190000,71836.21928810101
-1960000,-185000,70059.59408432168
-1960000,-120000,16946.896335682195
-1960000,-65000,10141.137889604635
-1960000,-60000,11868.278548128821
-1960000,-55000,11550.793852189014
-1960000,-50000,7969.022061443139
-1960000,-45000,6602.256176169434
-1960000,-40000,8583.371168472642
-1960000,-35000,12399.948976337257
-1960000,-30000,16847.64697563928
-1960000,-25000,21538.98053798664
-1960000,-20000,26344.110473040597
-1960000,-15000,31210.52115258198
-1960000,-10000,36113.44769771736
-1960000,-5000,41039.80480723279
-1960000,20000,40889.5690468389
-1960000,25000,36053.67599616169
-1960000,30000,31269.445931071532
-1960000,50000,13763.031382519119
-1960000,55000,10831.977143449212
-1960000,70000,14179.69734642479
-1960000,80000,22514.111326814706
-1960000,85000,27107.119080348733
-1960000,90000,31823.05140674298
-1960000,95000,36614.44109687059
-1960000,100000,41455.13228583653
-1960000,105000,46329.67395564323
-1960000,110000,51228.40408246392
-1960000,115000,56144.99159173689
-1960000,120000,61075.12404274105
-1960000,125000,66015.76685032301
-1960000,130000,70964.72482040784
-1960000,135000,75920.3718697176
-1960000,140000,80881.47847830309
-1960000,145000,85847.09812705498
-1955000,-190000,76565.18988161747
-1955000,-185000,73603.14635435039
-1955000,-180000,70256.38931983284
-1955000,-155000,52287.37444558063
-1955000,-120000,18565.416650653402
-1955000,-115000,14259.974137857285
