x,y,volcano
-2000685.456,-195827.3712,40290.620085052826
-2000685.106,-195827.4055,40290.880036211856
-1997201.549,124485.747,80005.88907808569
-1995935.307,117569.9865,73725.8102192353
-1995324.513,139216.3228,91397.90593692407
-1994606.241,-87227.0039,25365.136672255314
-1994145.942,12870.3397,64196.073391130885
-1992749.383,83893.3762,48902.96388599397
-1990104.057,-181459.4153,40662.64754894704
-1989128.448,-36492.6653,36831.6002342838
-1987446.293,34964.0458,44679.26432748867
-1985958.683,102781.1415,55952.42642303424
-1985863.044,110260.1724,61839.0220576635
-1985556.852,128699.3263,77502.2142516072
-1983800.104,-29554.7847,34316.629108995854
-1982876.281,-45290.4111,29459.736872093985
-1982757.728,44044.1618,36089.53753206631
-1982676.883,70560.4684,34199.05251782771
-1982670.752,70548.1072,34189.31747128563
-1982180.089,-10989.8081,44931.40946353834
-1981200.335,-66526.4728,31048.54414967054
-1980407.29,-56674.6541,29208.577152796173
-1979871.65,-67943.7389,29690.692250416658
-1979802.832,107402.7697,56110.25490019265
-1979291.82,-22585.7829,34567.85636702865
-1978920.911,-48984.5885,25739.369254523546
-1978397.399,69391.3888,29770.805663705713
-1978231.18,115057.547,62021.681449550495
-1977529.607,75580.8116,31565.169067329014
-1977398.159,174845.5608,118295.10235469518
-1977151.135,-34169.2609,26303.415242900253
-1975823.717,-54590.8078,24177.14846216238
-1975493.81,181884.1443,124756.88072697331
-1975033.53,-42545.0202,21818.366009619993
-1974529.782,127744.6582,72239.91358175382
-1974483.814,123061.3735,67831.01342337269
-1973886.227,-7540.8965,43133.62732309287
-1973582.7,138844.2202,82504.7682177312
-1973486.542,99406.6201,46000.76423911252
-1973414.8,133294.2844,77146.8628069028
-1972243.324,115610.209,60073.90425415054
-1972209.237,-99487.8175,2670.155752270973
-1972197.847,136455.935,79824.9646521338
-1971474.289,140590.0282,83620.74886188279
-1971426.945,-104417.8167,3637.801753888876
-1971169.199,-31083.5911,22873.665790396462
-1970666.823,134656.4062,77679.92097740064
-1970500.893,-105473.1191,4524.972952361797
-1969602.21,102075.2977,46579.030155004206
-1969401.06,146457.3594,88838.28009120576
-1969224.642,140930.7678,83409.88648799116
