草津白根山（白根山（湯釜付近）） （Kusatsu-Shiranesan） [350],レベル１（活火山であることに留意）,36.643833,138.527667,2160
草津白根山（本白根山） （Kusatsu-Shiranesan） [351],レベル１（活火山であることに留意）,36.618333,138.527667,2165
三瓶山 （Sanbesan） [401],活火山であることに留意,35.1405,132.621667,1126
九重山 （Kujusan） [502],レベル１（活火山であることに留意）,33.085833,131.248833,1791
阿蘇山 （Asosan） [503],レベル２（火口周辺規制）,32.884333,131.103833,1592
雲仙岳 （Unzendake） [504],レベル１（活火山であることに留意）,32.761333,130.298833,1483
桜島 （Sakurajima） [506],レベル３（入山規制）,31.5925,130.656667,1117
開聞岳 （Kaimondake） [507],活火山であることに留意,31.18,130.528333,924
薩摩硫黄島 （Satsuma-Iojima） [508],レベル２（火口周辺規制）,30.793,130.305167,704
口永良部島 （Kuchinoerabujima） [509],レベル２（火口周辺規制）,30.443333,130.217167,657
中之島 （Nakanoshima） [510],活火山であることに留意,29.859167,129.856833,979
諏訪之瀬島 （Suwanosejima） [511],レベル３（入山規制）,29.638333,129.713833,796
阿武火山群 （Abu Volcanoes） [512],活火山であることに留意,34.449333,131.401833,112
鶴見岳・伽藍岳 （Tsurumidake and Garandake） [513],レベル１（活火山であることに留意）,33.286667,131.429667,1375
由布岳 （Yufudake） [514],活火山であることに留意,33.282167,131.390167,1583
福江火山群 （Fukue Volcanoes） [515],活火山であることに留意,32.656667,128.848833,315
米丸・住吉池 （Yonemaru and Sumiyoshiike） [516],活火山であることに留意,31.776,130.565167,15
若尊 （Wakamiko） [517],活火山であることに留意（海底火山）,31.663333,130.798333,-77
池田・山川 （Ikeda and Yamagawa） [518],活火山であることに留意,31.213333,130.567167,256
口之島 （Kuchinoshima） [519],活火山であることに留意,29.968,129.9255,628
霧島山（御鉢） （Kirishimayama） [550],レベル１（活火山であることに留意）,31.886333,130.918833,1574
霧島山（新燃岳） （Kirishimayama） [551],レベル１（活火山であることに留意）,31.909333,130.886333,1421
霧島山（えびの高原（硫黄山）周辺） （Kirishimayama） [552],レベル１（活火山であることに留意）,31.946833,130.853833,1317
霧島山（大幡池） （Kirishimayama） [553],レベル１（活火山であることに留意）,31.9255,130.896667,1353
硫黄鳥島 （Io-Torishima） [601],活火山であることに留意,27.881,128.2225,212
西表島北北東海底火山 （Submarine Volcano NNE of Iriomotejima） [602],活火山であることに留意（海底火山）,24.566667,123.933333,-200
