x,y,depth1000
-1995000,-75000,62.185714867711496
-1995000,20000,61.98112649909486
-1995000,65000,64.42433963557154
-1995000,70000,62.256156702831326
-1995000,75000,60.075513864137825
-1995000,80000,59.63680672566206
-1995000,85000,61.235016313030926
-1995000,90000,63.00226957466339
-1995000,95000,62.94053819630454
-1995000,100000,60.7201176959695
-1995000,115000,58.0489018244566
-1995000,120000,61.05667178652709
-1995000,125000,63.78824048725116
-1995000,130000,65.26048577036272
-1995000,135000,65.52289415963479
-1995000,240000,60.13834777088114
-1995000,245000,62.80252601685596
-1990000,-190000,66.09477448758413
-1990000,-185000,66.09477448758413
-1990000,-90000,63.905656769530104
-1990000,-85000,62.23093889176964
-1990000,-80000,60.273809612109375
-1990000,-75000,59.479538319974324
-1990000,-70000,60.498383055583844
-1990000,-35000,60.69581438252902
-1990000,-30000,61.853550694862356
-1990000,15000,59.80766598423794
-1990000,20000,61.558177323374565
-1990000,25000,63.76186831511929
-1990000,30000,65.1358718527475
-1990000,65000,63.93833864952714
-1990000,70000,61.15285555365589
-1990000,75000,58.349307492282236
-1990000,80000,57.780922419592386
-1990000,95000,61.692980689426754
-1990000,105000,54.381024927681175
-1990000,110000,52.59163208685043
-1990000,115000,54.56813226299401
-1990000,120000,58.84687526834699
-1990000,125000,62.7738355748267
-1990000,130000,64.95566464446095
-1990000,135000,65.58451152624369
-1990000,140000,65.23410451868877
-1990000,245000,63.916036603036034
-1990000,250000,65.27355654339735
-1990000,255000,65.88368893029254
-1990000,260000,66.05777418701568
-1985000,-90000,61.72162043812704
-1985000,-85000,59.712769722293594
-1985000,-80000,57.49537177006425
-1985000,-75000,56.98846862792977
-1985000,-70000,58.57396467241395
-1985000,-65000,60.60850623307823
-1985000,-40000,58.213115076033894
-1985000,-35000,58.368294683149685
-1985000,-30000,59.908762892959885
-1985000,0,64.4462262415914
-1985000,5000,62.995539051546245
-1985000,15000,61.34721590770127
-1985000,20000,62.51249214046185
-1985000,25000,63.91223058340447
-1985000,30000,64.7366028811605
-1985000,35000,65.16693298220996
-1985000,70000,61.731976459600666
-1985000,75000,59.28876107237892
-1985000,80000,58.783436104914
-1985000,105000,54.36425016584341
-1985000,110000,52.71983752943382
-1985000,115000,54.728171684290594
-1985000,120000,58.95086386592537
-1985000,125000,62.82155512273681
-1985000,130000,64.99949805811805
-1985000,135000,65.73201896329043
-1985000,255000,65.99951295953376
-1985000,260000,66.07807649452533
-1985000,265000,66.09277850084104
-1985000,270000,66.09461178379307
-1980000,-90000,59.88145458447761
-1980000,-85000,57.866375727307755
-1980000,-80000,55.886708057160305
