x,y,depth0,depth500,depth800,depth1000
-1615000,190000,38.8851057364692,54.836910717444496,70.16821948840388,75.86260360844992
-1615000,195000,42.35991463731992,58.79452596418999,75.30222842626641,93.92849025969396
-1615000,200000,42.560394139270784,63.797229557790814,77.94883731250182,95.9096581687141
-1615000,205000,46.3894122626543,60.11360179977146,77.39487741739202,106.73124559090112
-1615000,210000,48.19870999714138,76.9210393581185,72.6270207427282,119.0030936678632
-1615000,215000,52.11225452323086,70.6105383761014,74.59158070264787,105.00030800034412
-1615000,220000,49.41337966312549,63.66151999319665,78.23937595242018,101.13874076245332
-1615000,225000,34.69122182883076,45.584324880932414,55.2544617508554,69.45016040260347
-1615000,230000,40.38902081683325,54.351444992034146,80.84227056838075,101.43296637341473
-1615000,235000,48.42492227667762,62.9476021324259,84.71431388085432,109.38332503495882
-1615000,240000,47.674034063259825,66.74365873581681,88.38824676565682,110.57607191227493
-1615000,245000,26.20094854144942,42.02478872041398,50.20268914179104,85.70347676679322
-1615000,250000,26.420668538722765,45.38932665151353,57.753899860272824,91.11940275071066
-1615000,255000,25.783889034358722,49.82868191139491,59.285343222361575,71.1142905379014
-1615000,260000,24.607610773554427,43.42539974324792,50.17680822887334,58.58341392382057
-1615000,265000,24.693333744020947,45.99950767480183,55.74818469341365,68.4790448340588
-1610000,50000,25.66238225796549,33.348708885126555,34.06416253384819,36.59268350642874
-1610000,55000,26.57569577325041,32.0045738026201,31.793592930933258,51.3343175318863
-1610000,60000,41.3905288424892,57.16758913490547,90.13825412428059,82.18890730556947
-1610000,65000,63.03399914475001,68.3643777770256,79.35260267678342,86.78512991557123
-1610000,70000,32.97790374006906,42.235129595293955,44.224272522858556,64.97891041006206
-1610000,75000,54.90131632548082,68.21712491504826,82.33579581034867,86.09799573064993
-1610000,80000,61.44737021428715,69.03633361709828,94.69479193766426,90.58585908610667
-1610000,85000,56.55591676298516,68.47038891491037,92.92697064969013,89.3305843739333
-1610000,90000,60.65534416776862,68.84341587522698,94.42590594023758,88.00475829204471
-1610000,140000,26.86306789233319,33.417491597895946,39.65507566438423,43.298070738724824
-1610000,145000,37.87666385599515,45.11994776218043,48.13811074628424,66.79709778956978
-1610000,150000,26.083013939899764,33.27845125973754,33.14464024912697,35.55432871228861
-1610000,155000,26.203890769534894,33.56133879100552,35.618679757320926,39.8119951594308
-1610000,160000,25.677995242612624,31.77674253981146,36.163516757671474,41.33708718648082
-1610000,165000,37.51162697500976,50.83587342473123,75.6973674731216,77.85644613823767
-1610000,170000,44.48777730368714,60.750992093216695,97.95383673603052,100.54823770875727
-1610000,175000,41.86698172048381,60.79140744327512,97.11729407334568,105.21935906167963
-1610000,180000,39.65832111363363,59.12196757054568,91.12402565487943,84.82620530484053
-1610000,185000,34.55387897907988,44.39611836181062,53.559403252316685,71.4299391926898
-1610000,190000,35.43886333716557,51.999519475133525,70.2916412377728,75.69612364593495
-1610000,195000,35.47849677290383,49.87753474987403,65.07015503120546,66.26298755137549
-1610000,200000,45.23250864313202,64.028454070156,74.68409714712735,85.06102711595817
-1610000,205000,46.9625925879214,57.66059052106901,77.27322131684048,97.16339958743015
-1610000,210000,44.86815344330064,72.11900949142263,70.09064953209032,110.13451239914738
-1610000,215000,44.81809076745141,56.88054379047853,74.53232664340554,88.30841115137181
