x,y,depth0,depth500,depth1000
-2000000,95000,30.729862975392592,45.09118392460405,58.32227082524804
-2000000,100000,29.92048517000162,45.188130937871236,58.21742790073088
-2000000,105000,33.72708611313166,44.50294813366963,57.018347124776284
-2000000,110000,23.140970397249333,33.94490324130666,42.81101036869295
-2000000,120000,21.394314121681205,35.88777438183811,45.328235415577396
-2000000,125000,21.18860929962031,34.95903203071367,47.74228838610378
-2000000,130000,30.03745320511748,43.62507992786081,54.772981661788506
-2000000,135000,23.504523288865606,34.54222133161029,42.898457607352555
-2000000,140000,23.690300382695106,34.49002391473752,43.254672716072776
-2000000,155000,22.729692100990746,34.129366399033,38.69076193635388
-2000000,235000,33.88306494961638,47.104089153997535,57.583314727186476
-2000000,240000,23.370078354257082,36.1387203302055,51.93749699049536
-2000000,250000,22.56372090057519,36.432728605941165,48.47334056823206
-1995000,-195000,28.857240077326253,42.617707637926245,58.70676909882961
-1995000,-190000,58.17682517384954,91.83808978290082,76.56745717537659
-1995000,-185000,59.30445452388824,94.69526602236672,77.27558135975606
-1995000,-180000,47.47812938532275,54.819505831931565,62.32756865198917
-1995000,-85000,25.30976120403524,53.471014684972815,77.70962283717242
-1995000,-80000,26.928531081064506,51.84990606327756,79.02805961422786
-1995000,-75000,36.55665154543141,60.32531096712813,96.29691693992936
-1995000,20000,25.25671711692098,40.61107676465724,47.750992559565276
-1995000,65000,25.22758550820489,40.523003030539485,47.9573219052657
-1995000,70000,21.684659455870722,36.36531813189836,40.65517320405155
-1995000,75000,23.98006619476938,36.38442061802786,43.3655076316135
-1995000,80000,23.60618151547792,36.96620492905683,43.2938375211061
-1995000,85000,22.036120139389254,35.48682615686933,40.24719205361728
-1995000,90000,23.358037628320815,34.83792847628129,42.11467629817855
-1995000,95000,31.290662845828457,43.93058162141668,59.16523069416965
-1995000,100000,24.195598080784123,35.04165075556088,40.76081910212811
-1995000,115000,22.221190188648336,35.64779427401275,47.44133031299302
-1995000,120000,23.310655463636962,34.23513417090214,39.2729853874138
-1995000,125000,23.687602824361747,34.82026763071599,41.74138265012428
-1995000,130000,24.608878779395766,39.62050895841014,50.12754349455187
-1995000,135000,24.42046940271735,33.91975553089978,42.62878513368126
-1995000,240000,22.32589102810465,36.201510520301454,48.01185521396505
-1995000,245000,23.35054467252629,36.52642533529182,48.404938622747125
-1990000,-190000,28.112284295713977,39.642078508623015,72.19112001763575
-1990000,-185000,50.31765994346682,83.52424414464119,88.99848114895606
-1990000,-90000,26.172650801668276,50.85756441465986,70.25248306242366
-1990000,-85000,37.40394239452391,57.8021881172851,114.8956885444733
-1990000,-80000,29.046902676496735,56.02568618346454,84.74783279449657
-1990000,-75000,25.511474068667383,52.51121530640785,70.12219723627192
-1990000,-70000,25.647495262045013,48.60935183064669,69.16571971132886
-1990000,-35000,24.685036052291338,37.25226037771125,41.973339565476124
-1990000,-30000,24.998804204878006,37.75831114351037,49.600728616994516
-1990000,15000,23.533036423912897,37.411695302267276,39.32708429044047
-1990000,20000,23.028800290227196,37.604075627046115,43.87708648180612
-1990000,25000,23.69424788081151,38.392760652142556,41.37478467629677
-1990000,30000,24.44797418283764,39.86605549841261,47.45296771996421
-1990000,65000,25.299142062988672,43.86596255836501,54.54047954572955
-1990000,70000,20.934089452733346,36.70146382085315,40.47034697256231
-1990000,75000,21.499539654784996,36.84003516754538,43.961681368874906
-1990000,80000,34.098585073053954,39.00898630293355,44.24235721877889
