x,y,depth0,depth500,depth800
-1970000,-60000,21.82798965963221,37.679630516453145,53.41378444944256
-1970000,-50000,33.45904737921166,51.80640969351924,61.08213253706427
-1970000,-40000,25.092030310418508,47.29139110661934,63.69749227765713
-1970000,-30000,26.262276980237772,40.329331467331656,49.27331877802854
-1970000,-20000,43.55815230235282,58.53578379195015,99.8950636514212
-1970000,-10000,23.82801827393044,40.529361955974295,45.36838415054817
-1970000,30000,23.463065739056987,36.747877498588785,40.56783850789539
-1970000,40000,22.941444306705087,34.59545027686517,36.71401584813887
-1970000,70000,22.63681984259854,34.8323343660429,39.57367826824446
-1970000,80000,23.893777970630055,35.220841152833785,41.580386869548306
-1970000,90000,42.2396137536018,53.138623873443635,82.60873435009884
-1970000,100000,30.588758430428342,35.18670533209962,41.68153441225152
-1970000,110000,35.30076985714188,43.347816641240115,57.741537548854126
-1970000,120000,24.237613327459528,33.1695744137503,36.0250064128794
-1970000,130000,24.222929159984957,33.09844316740686,34.76551236380757
-1970000,140000,24.768353977467356,33.5941364485537,35.91584886433173
-1970000,180000,24.44914469592129,36.89330381243752,38.883467596733624
-1970000,270000,23.608353798708386,40.14615373517513,44.830000728604276
-1960000,-190000,38.34054415482633,34.840086031696245,43.325700251165074
-1960000,-120000,39.898271373158664,49.825977962421064,65.40324452848725
-1960000,-60000,26.073456522909964,50.70415465625912,65.39867158879613
-1960000,-50000,43.09956206967344,80.5909220954167,104.05410235355673
-1960000,-40000,27.52957925567727,57.007551140281294,78.9879815202421
-1960000,-30000,25.83324776619648,50.02205054157403,67.9177147613832
-1960000,-20000,35.71805825374682,56.6994195952591,65.13889818604763
-1960000,-10000,32.08066056894131,44.10094726525807,49.81675859657285
-1960000,20000,25.430657721292064,35.16589310440038,37.52151990111659
-1960000,30000,30.807307827342974,41.19029727478852,45.4591437946668
-1960000,50000,26.860307875317986,45.929424036929305,57.016419945533315
-1960000,70000,24.821746157495767,40.36869615226048,46.71662237490854
-1960000,80000,26.102638883439646,40.43112206770831,49.8067983710374
-1960000,90000,32.637265109336404,42.39726268683876,54.385468831058716
-1960000,100000,24.981966700747094,35.31152139918171,39.75632484421711
-1960000,110000,26.35234952955858,33.18274149640741,38.38183461101165
