Ser,keido,ido,Region (hydrogeologic-geologic),Prefectures,Prefecture_EN,Municipality,Municipality_EN,Place_Name,Onsen_Name,Kosen_Name,Place_Name_EN,Place_Simple_Name_EN,Well_Name,Well_Name_EN,Well_Depth,Simplified_rock_category,Rock_age_EN,Litho_EN,Geol_unit_code,Temp_avail,Disch_avail,Temp,Discharge,Flow_type,Flow_type_EN,Source_type,P (pumped),F (artesian),S (spring - natural),X (unknown source),Water quality sample date,pH,RpH,比重,TSM,H,Li,Na,K,NH4,Ca,Mg,TFe,Fe2+,Fe3+,Mn,Al,F,Cl,HS,SO4,HSO4,S2O3,HCO3,CO3,Br,I,OH,NO3,PO4,HPO4,H2PO4,H3PO4,AsO2,BO2,B,HSiO3,SiO3,SiO2,HAsO2,H2SiO3,HBO2,CO2,H2S,Sr,Ba,Cu,Hg,Pb,Zn,Cd,Cr,As,Ni,Rb,Cs,S,unit,Rn,Rn_unit,Spring_quality,Source,GeolMap,Map_No,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,h,x,y
5078,137.5753442,36.28486233,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,94.0,,F,Artesian,well,,F,,,1953.8.13,6.6,6.6,0.9988,562.5,,,95.65,4.399,,36.6,5.024,,0.195,,0.556,,,104.9,0.86,31.27,,,175.6,,,,,,,1.106,,,,,,,,,,124.0,,49.82,0.681,,,,,,,,,,,,,,mg/kg,,,単純温泉,R:10-08,10金沢,16,,,,,,,,,,,,,1101.1,-1171947.777,245002.5406
5079,137.5747487,36.2848705,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,村営,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,73.6,,,,well,,,,,1980.7.30,6.8,,,,,0.919,104.0,14.7,,17.8,0.515,0.19,,,0.38,,4.2,154,,78,,,131.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mg/l,,,,R:10-07,10金沢,1,,,,,,,,,,,,,1094.2,-1172003.125,245013.9328
5080,137.5745252,36.284579,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,1,94.5,140.0,F,Artesian,well,,F,,,1956.1.28,7.6,,,743.1,,,165.2,16.82,,24.09,0.997,,0.436,,0.052000000000000005,,4.8,184.6,,35.45,,,168.5,1.986,,,0.034,,,,,,,,,,,91.125,0.043,,10.87,2.024,1.736,,,,,,,,,,,,,,mg/kg,,,,R:10-21,10金沢,YKC-2,,,,,,,,,,,,,1086.7,-1172029.6770000001,244987.8038
5082,137.5737835,36.2839445,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,奥飛観光開発KK1号泉,,46.15,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,1,88.5,120.0,,,well,,,,,1965.7.20,8.5,8.5,0.9987,620.3,,,137.7,17.22,0.9,20.39,1.289,,0.16,,0.375,,4.506,134.6,2.173,28.52,,,184.3,15.15,,,0.054000000000000006,,,0.019,,,,1.272,,13.29,0.012,,0.009,215.3,6.937,1.033,0.078,,,,,,,,,,,,,,mg/kg,,,単純硫黄泉,R:10-08,10金沢,206,,,,,,,,,,,,,1082.9,-1172111.26,244935.4513
5084,137.573784,36.28394383,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,北電源泉,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,94.5,,,,well,,,,,1967.7.24,,7.1,,564.0,,,135.0,12.8,,20.4,0.24,0.02,,,0.21,,4.16,151.9,,39.5,,,117,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,mg/l,,,,R:10-10,10金沢,4,,,,,,,,,,,,,1082.9,-1172111.227,244935.3733
5085,137.5747135,36.28448483,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,48.5,,F,Artesian,well,,F,,,1957.7.24,6.4,6.6,0.9985,343.5,,,66.76,12.05,,12.83,0.753,,,,,,1.602,71.03,,7.211,,,102.3,,,,,,,,,,,,,,,,,119.2,36.95,80.32,0.443,,,,,,,,,,,,,,mg/kg,,,単純温泉,R:10-08,10金沢,20,,,,,,,,,,,,,1092.8,-1172013.972,244974.7479
5086,137.5737613,36.28369983,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,新穂高温泉,新穂高,,Shinhotaka onsen,Shinhotaka,,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,59.2,,F,Artesian,well,,F,,,1957.7.23,6.4,6.6,0.9987,485.6,,,98.09,22.28,,16.14,1.255,,0.085,,,,2.003,102.2,0.86,29.25,,,129.6,,,,,,,,,,,,,,,,,179.4,22.73,42.91,1.397,,,,,,,,,,,,,,mg/kg,,,単純硫化水素泉,R:10-08,10金沢,19,,,,,,,,,,,,,1081,-1172118.13,244910.5901
5106,137.5168093,36.248468,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,栃尾温泉,栃尾,,,,栃尾温泉協同組合4号泉,,15.0,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,1,95.0,80.0,F,Artesian,well,,F,,,1964.6.19,7.4,7.5,0.9988,700.8,,,155.2,20.77,0.373,20.95,6.019,,0.02,,0.2,,5.006,155.8,3.503,30.65,,,216.4,0.331,,,0.004,,,,,,,0.13699999999999998,,1.033,,,,208.5,9.309,20.81,1.587,,,,,,,,,,,,,,mg/kg,,,単純硫化水素泉,R:10-08,10金沢,185,,,,,,,,,,,,,796,-1178120.689,242286.1569
5107,137.5243513,36.24625983,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,栃尾温泉,栃尾,,,,,,,Quat sediments,Late Pleistocene,middle terrace,Q3tm,1,0,62.2,,,,well,,,,,1980.7.30,7.0,,,,,0.805,92.4,11.4,,14,1.85,0.05,,,0.25,,3.6,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mg/l,,,,R:10-07,10金沢,7,,,,,,,,,,,,,814.9,-1177460.844,241924.0374
5132,137.551695,36.1968155,Sannin reg to HIda Mts,岐阜県,Gifu,吉城郡上宝村,,平湯温泉,平湯,,Hirayu onsen,Hirayu,中村館,,2.0,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,63.8,154.0,F,Artesian,well,,F,,,1966.2.24,6.4,6.7,,915.3,,,217.7,29.53,,59.45,15.37,,4.15,,0.64,0.224,1.001,198.8,,26.01,,0.03,514.7,,,,,,,,,0.206,,,,,,76.67399999999998,0.011,,16.907,494.7,2.297,,,,,,,,,,,,,,mg/kg,,,,R:10-21,10金沢,YKC-26,,,,,,,,,,,,,1216.5,-1175882.136,236335.9952
