x,y,sv_250,sv_500,sv_750,sv_1000
-620000,1040000,15.165023346970528,127.70666,273.50590754954663,537.3793932996557
-620000,1045000,24.977838202937022,139.8841,282.8639380646361,531.1894815203515
-620000,1050000,35.193082402499954,194.28668,428.9829694168477,793.1124978671519
-620000,1055000,32.34551040745911,179.01895,388.4731157022941,729.6731409009122
-620000,1060000,34.64283087494067,201.72273,425.25868203782704,773.5665335715869
-620000,1065000,62.203114108346725,349.2128,1168.7293025566548,1399.9460110896025
-620000,1070000,30.436284180734113,148.40544,339.5454440810861,665.8288897254758
-620000,1075000,24.96549114596654,128.50188,282.0664658543813,507.7739148047358
-620000,1080000,21.4084245699525,129.07822,276.68642505777177,516.1891792797055
-620000,1085000,22.424325057928954,129.94298,278.67261921926905,532.6410843686499
-620000,1090000,17.931134127028514,125.3113,274.5299026557925,520.978069270699
-620000,1095000,24.527148504986506,136.61363,291.3814757160174,527.636280124766
-620000,1100000,14.214197439595132,128.80508,267.19845836334076,530.8790041993053
-620000,1105000,17.82889923016829,96.72205,268.81234106358767,469.8928175078178
-620000,1110000,14.017465017058484,131.24492,283.1894630369696,525.8926377364633
-620000,1115000,12.42698935862019,116.410164,265.54593749408565,501.7427694158457
-620000,1120000,15.050407908566953,86.94715,236.21214959933752,392.395133374535
-620000,1125000,24.455277377144576,93.77325,266.11502681523007,482.67151982056237
-615000,795000,8.31897095050179,95.31057,215.70666324624534,358.50700220611066
-615000,800000,12.437021727793528,95.13853,220.929481661312,381.1624690016894
-615000,805000,7.851088828480197,95.581375,206.51404638455614,350.59014488275534
-615000,810000,25.796129784984792,121.88574,315.600779365974,640.4541157104059
-615000,815000,64.07242700717056,113.84378,248.63646380706103,451.0075762017055
-615000,820000,27.764227552264906,158.20528,397.7028742884453,748.1029583147697
-615000,825000,54.64923471814477,218.36438,514.837773492555,990.7583554475116
-615000,830000,24.06474582863091,144.59665,310.4718209050231,622.993831827313
-615000,835000,66.16215272318843,298.01212,626.6315607474767,1087.439864871029
-615000,840000,436.83759917266894,1237.4965,3040.359304896053,5396.152299599109
-615000,845000,399.5226718161308,1229.1259,2950.1278393238013,5294.236750601645
-615000,850000,398.1352976339819,1199.202,2973.357482997304,5266.3055106140455
-615000,855000,389.3095451318717,1186.026,2770.253497063003,4601.624946956686
-615000,860000,406.6259282347139,1210.2633,3031.1172360497562,5356.186229952387
-615000,865000,427.90889421001384,1247.0345,3057.853711222673,5271.902569389581
-615000,870000,406.33609070403895,1207.6879,2957.4433938284665,5210.409608283866
-615000,875000,208.4988930905023,749.1738,1786.9997588787342,3057.800002554599
-615000,880000,72.8594015455112,355.33688,723.074156596665,1393.3631796477157
-615000,885000,187.44107679106315,677.0057,1549.513832076761,2695.23428221635
-615000,890000,50.007225156981704,287.38446,529.7142069073243,1001.3040793803927
