x,y,h_z,group_ja
-1900000,40000,-2250,堆積岩
-1900000,50000,-2250,堆積岩
-1900000,60000,-2250,堆積岩
-1900000,70000,-2250,堆積岩
-1900000,80000,-2250,火成岩
-1900000,90000,-2250,火成岩
-1900000,100000,-2250,変成岩
-1900000,110000,-2250,堆積岩
-1900000,120000,-2250,堆積岩
-1900000,130000,-2250,火成岩
-1900000,140000,-2250,変成岩
-1900000,150000,-2250,堆積岩
-1900000,160000,-2250,堆積岩
-1890000,-100000,-2250,堆積岩
-1890000,-90000,-2250,堆積岩
-1890000,-80000,-2250,付加体
-1890000,-70000,-2250,付加体
-1890000,-60000,-2250,付加体
-1890000,-50000,-2250,付加体
-1890000,-40000,-2250,付加体
-1890000,-30000,-2250,付加体
-1890000,-20000,-2250,付加体
-1890000,-10000,-2250,付加体
-1890000,0,-2250,火成岩
-1890000,10000,-2250,付加体
-1890000,20000,-2250,付加体
-1890000,30000,-2250,火成岩
-1890000,40000,-2250,火成岩
-1890000,50000,-2250,火成岩
-1890000,60000,-2250,火成岩
-1890000,70000,-2250,火成岩
-1890000,80000,-2250,火成岩
-1890000,90000,-2250,火成岩
-1890000,100000,-2250,変成岩
-1890000,110000,-2250,堆積岩
-1890000,120000,-2250,火成岩
-1890000,130000,-2250,堆積岩
-1890000,140000,-2250,付加体
-1890000,150000,-2250,堆積岩
-1890000,160000,-2250,火成岩
-1880000,-90000,-2250,堆積岩
-1880000,-80000,-2250,堆積岩
-1880000,-70000,-2250,付加体
-1880000,-60000,-2250,堆積岩
-1880000,-50000,-2250,堆積岩
-1880000,-40000,-2250,付加体
-1880000,-30000,-2250,付加体
-1880000,-20000,-2250,付加体
-1880000,-10000,-2250,付加体
-1880000,0,-2250,付加体
-1880000,10000,-2250,付加体
-1880000,20000,-2250,付加体
-1880000,30000,-2250,火成岩
-1880000,40000,-2250,火成岩
-1880000,50000,-2250,火成岩
-1880000,60000,-2250,火成岩
-1880000,70000,-2250,火成岩
-1880000,80000,-2250,火成岩
-1880000,90000,-2250,火成岩
-1880000,100000,-2250,火成岩
-1880000,110000,-2250,変成岩
-1880000,120000,-2250,火成岩
-1880000,130000,-2250,堆積岩
-1880000,140000,-2250,堆積岩
-1880000,150000,-2250,堆積岩
-1880000,160000,-2250,堆積岩
-1870000,-80000,-2250,堆積岩
-1870000,-70000,-2250,堆積岩
-1870000,-60000,-2250,堆積岩
-1870000,-50000,-2250,堆積岩
-1870000,-40000,-2250,堆積岩
-1870000,-30000,-2250,付加体
-1870000,-20000,-2250,付加体
-1870000,-10000,-2250,付加体
-1870000,0,-2250,付加体
-1870000,10000,-2250,付加体
-1870000,20000,-2250,付加体
-1870000,30000,-2250,火成岩
-1870000,40000,-2250,火成岩
-1870000,50000,-2250,火成岩
-1870000,60000,-2250,火成岩
-1870000,70000,-2250,火成岩
-1870000,80000,-2250,火成岩
-1870000,90000,-2250,火成岩
-1870000,100000,-2250,火成岩
