ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
33.852589,135.741756,Pg14-3_som_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,海成層 泥岩 始新世-前期漸新世付加体
33.817106,135.724753,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
33.84972222,135.745,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
33.85045,135.748322,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
33.81444444,135.72722219999997,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
35.70444444,136.945,J24-K11_sx_J3,中生代 中期ジュラ紀 カロビアン期〜前期白亜紀 バレミアン期,付加体,混在岩 後期ジュラ紀-前期白亜紀付加体
41.353446000000005,141.118479,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
33.83805556,135.7658333,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
41.353519,141.11865,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
33.841846999999994,135.76835,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
41.35138889,141.1225,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
33.84972222,135.78194440000001,Pg14-3_soss_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,海成層 砂岩 始新世-前期漸新世付加体
43.91316667,143.3268333,Q12_vas_ap,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 大規模火砕流
33.828461,135.776325,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
43.91433333,143.33366669999998,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
33.802776,135.763336,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
33.80666667,135.7672222,Pg14-3_somam_Pg2,新生代 古第三紀 始新世 ヤプレシアン期〜漸新世 ルペリアン期,付加体,泥岩砂岩互層 始新世-前期漸新世付加体
37.00277778,137.88222219999997,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
33.79888889,135.795,N1_som,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,海成層 泥岩
40.66388889,140.6430556,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
34.0225,135.96222219999999,K212-22_somam_K2,中生代 後期白亜紀 チューロニアン期〜マーストリヒチアン期,付加体,泥岩砂岩互層 後期白亜紀付加体
36.844451,137.830511,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.93194444,137.8916667,N1_vbs_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,玄武岩 溶岩・火砕岩
36.844076,137.831072,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.8417,137.8347,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.84111111,137.8347222,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.87222222,137.8736111,P2-3_sx_P2,古生代 ペルム紀 グアダルピアン世〜ローピンジアン世,付加体,混在岩 中期-後期ペルム紀付加体
36.839711,137.87028999999998,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.83666667,137.8738889,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.8361,137.8764,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
36.807322,137.862719,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.635472,140.70701100000002,Q12_vis_al,新生代 第四紀 更新世 カラブリアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.8153,137.8694,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
36.83055556,137.8811111,J1_snsmm,中生代 前期ジュラ紀,堆積岩,非海成層 砂岩・泥岩
40.63277778,140.7105556,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
36.8475,137.898089,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
36.847465,137.898103,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
36.81747101,137.87841,Q3_vis_al,新生代 第四紀 後期更新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.636860999999996,140.723397,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
40.63416667,140.7269444,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
35.12416667,136.75222219999998,H2_or,新生代 第四紀 後期完新世,その他,盛り土・埋立地・干拓地
40.58283333,140.701,Q12_vas_al,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
40.681881,140.787342,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.681844,140.787584,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.571633,140.700642,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.571954,140.701338,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
