x,y,h_z,age
-1955000,-180000,-1750,1.3545
-1955000,-155000,-1750,41.91
-1955000,-120000,-1750,24.130000000000003
-1955000,-115000,-1750,13.8
-1955000,-65000,-1750,0.00585
-1955000,-60000,-1750,0.00585
-1955000,-55000,-1750,0.4515
-1955000,-50000,-1750,0.07035
-1955000,-45000,-1750,1.3545
-1955000,-40000,-1750,1.287
-1955000,-35000,-1750,0.07035
-1955000,-30000,-1750,0.07035
-1955000,-25000,-1750,92.05
-1955000,-20000,-1750,92.05
-1955000,-15000,-1750,107.45
-1955000,-10000,-1750,0.4515
-1955000,-5000,-1750,2.19
-1955000,0,-1750,2.19
-1955000,25000,-1750,40.849999999999994
-1955000,30000,-1750,40.849999999999994
-1955000,50000,-1750,0.00585
-1955000,55000,-1750,0.4515
-1955000,60000,-1750,0.4515
-1955000,65000,-1750,0.4515
-1955000,70000,-1750,0.4515
-1955000,80000,-1750,1.287
-1955000,85000,-1750,0.4515
-1955000,90000,-1750,0.00585
-1955000,95000,-1750,1.29
-1955000,105000,-1750,0.00585
-1955000,110000,-1750,0.00585
-1955000,115000,-1750,0.00585
-1955000,120000,-1750,40.849999999999994
-1955000,125000,-1750,112.75
-1955000,130000,-1750,112.75
-1955000,135000,-1750,0.00585
-1950000,-180000,-1750,1.3545
-1950000,-175000,-1750,41.91
-1950000,-120000,-1750,24.130000000000003
-1950000,-115000,-1750,13.8
-1950000,-110000,-1750,0.07035
-1950000,-70000,-1750,0.00585
-1950000,-65000,-1750,1.29
-1950000,-50000,-1750,0.00585
-1950000,-45000,-1750,0.07035
-1950000,-40000,-1750,1.287
-1950000,-35000,-1750,1.287
-1950000,-30000,-1750,0.07035
-1950000,-25000,-1750,2.19
-1950000,-20000,-1750,0.07035
-1950000,-15000,-1750,2.19
-1950000,-10000,-1750,2.19
-1950000,-5000,-1750,107.45
-1950000,0,-1750,4.913
-1950000,5000,-1750,2.19
-1950000,25000,-1750,112.75
-1950000,30000,-1750,40.849999999999994
-1950000,50000,-1750,1.29
-1950000,55000,-1750,0.00585
-1950000,60000,-1750,0.00585
-1950000,65000,-1750,0.4515
-1950000,70000,-1750,0.00585
-1950000,105000,-1750,0.00585
-1950000,110000,-1750,0.00585
-1950000,115000,-1750,0.00585
-1950000,120000,-1750,112.75
-1950000,125000,-1750,112.75
-1950000,130000,-1750,112.75
-1950000,135000,-1750,112.75
-1945000,-175000,-1750,41.91
-1945000,-170000,-1750,41.91
-1945000,-165000,-1750,41.91
-1945000,-120000,-1750,13.8
-1945000,-115000,-1750,13.8
-1945000,-110000,-1750,0.07035
-1945000,-105000,-1750,0.07035
-1945000,-100000,-1750,1.287
-1945000,-85000,-1750,0.07035
-1945000,-80000,-1750,0.07035
-1945000,-75000,-1750,79.95
-1945000,-70000,-1750,0.00585
-1945000,-50000,-1750,0.07035
-1945000,-45000,-1750,0.07035
-1945000,-40000,-1750,1.287
-1945000,-35000,-1750,1.287
-1945000,-30000,-1750,1.287
-1945000,-25000,-1750,2.19
-1945000,-20000,-1750,2.19
-1945000,-15000,-1750,0.00585
-1945000,-10000,-1750,2.19
-1945000,-5000,-1750,2.19
-1945000,0,-1750,2.19
-1945000,5000,-1750,0.00585
-1945000,10000,-1750,252.5
-1945000,30000,-1750,92.05
-1945000,40000,-1750,4.913
-1945000,55000,-1750,1.29
-1945000,60000,-1750,0.07035
-1945000,65000,-1750,1.29
-1945000,70000,-1750,0.00585
-1945000,105000,-1750,0.00585
-1945000,110000,-1750,0.00585
-1945000,115000,-1750,0.00585
-1945000,120000,-1750,112.75
-1945000,125000,-1750,112.75
-1945000,130000,-1750,112.75
-1945000,135000,-1750,112.75
-1940000,-175000,-1750,41.91
-1940000,-170000,-1750,41.91
-1940000,-165000,-1750,41.91
-1940000,-160000,-1750,41.91
-1940000,-120000,-1750,13.8
-1940000,-115000,-1750,0.07035
-1940000,-110000,-1750,13.8
