ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
37.57150287,140.37895680000003,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
37.61833854,140.3711456,Q2_v_ad,新生代 第四紀 チバニアン期,火成岩,火山岩 岩屑なだれ堆積物
37.66516465,140.36332180000002,Q22-H_sdd,新生代 第四紀 後期チバニアン期〜完新世,堆積岩,地すべり堆積物
37.71198121,140.3554854,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
37.75878823,140.34763619999998,Q12_vis_al,新生代 第四紀 更新世 カラブリアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
37.80558573,140.33977439999998,N1_som,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,海成層 泥岩
37.85237372,140.3318999,K12_pim_a,中生代 前期白亜紀 アプチアン期〜アルビアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
37.89915222,140.3240126,K12_pim_a,中生代 前期白亜紀 アプチアン期〜アルビアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
37.94592123,140.3161125,K12_pam_a,中生代 前期白亜紀 アプチアン期〜アルビアン期,火成岩,花崗岩 塊状 島弧・大陸
37.99268079,140.3081996,K12_pim_a,中生代 前期白亜紀 アプチアン期〜アルビアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
38.03943089,140.3002738,K12_pim_a,中生代 前期白亜紀 アプチアン期〜アルビアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
38.08617155,140.2923352,N1_vas_ai,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 貫入岩
38.13290278,140.28438369999998,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
38.17962461,140.2764192,Q22_std,新生代 第四紀 後期チバニアン期,堆積岩,段丘堆積物
38.22633703,140.26844169999998,N1_vas_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
38.27304008,140.26045119999998,Q32-33_std,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
38.31973375,140.2524477,N2_som,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,堆積岩,海成層 泥岩
38.36641807,140.24443119999998,,,,
38.41309304,140.2364015,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
38.45975869,140.22835869999997,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
38.50641502,140.2203027,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
38.55306204,140.2122335,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
38.59969978,140.2041511,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
38.64632825,140.1960555,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
38.69294745,140.1879465,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
