x,y,h,z,h_z,t,ido,keido
-754068.9928,906697.8845,727.0,500,227.0,107.0,43.054303000000004,140.99395
-757279.949,904334.7471,609.0,500,109.0,74.2,43.028525,140.959908
-755975.9528,902161.9477,677.0,500,177.0,147.1,43.010194,140.978797
-754101.2606,905956.6013,792.0,500,292.0,87.5,43.047447,140.994767
-755213.4808,858895.4201,349.0,500,-151.0,96.7,42.613021999999994,141.057147
-757014.0155,857181.9872,397.0,500,-103.0,83.2,42.594986,141.038817
-758285.1187,855875.4852,247.0,500,-253.0,106.6,42.581358,141.026039
-761289.4032,853607.1698,297.0,500,-203.0,79.6,42.556686,140.994553
-752692.9193,849446.9545,433.0,500,-67.0,229.5,42.529146999999995,141.10159199999998
-753496.3317,858054.72,456.0,500,-44.0,194.8,42.607428000000006,141.078569
-756534.7091,854539.6539,518.0,500,18.0,112.4,42.571253000000006,141.048628
-751683.1812,847878.5709,337.0,500,-163.0,81.0,42.515956,141.11586100000002
-753043.91,847510.7182,366.0,500,-134.0,77.8,42.510872,141.100553
-751979.069,847123.6878,316.0,500,-184.0,69.2,42.508633,141.113597
-748956.5249,842220.7297,125.0,500,-375.0,56.6,42.467211,141.156589
-751614.1699,849091.5889,412.0,500,-88.0,146.9,42.527217,141.114753
-754240.4052,846098.8565,508.0,500,8.0,44.0,42.496371999999994,141.088817
-758398.4574,846955.4861,297.0,500,-203.0,47.6,42.499058000000005,141.038925
-757113.2502,844699.0824,178.0,500,-322.0,45.8,42.479883,141.057508
-837185.1026,826247.8184,130.0,500,-370.0,110.5,42.204581,140.157225
-839619.6490000001,822794.6463,288.0,500,-212.0,83.4,42.169436,140.13503300000002
-836973.6266,823886.4944,291.0,500,-209.0,114.0,42.183139000000004,140.163772
-839913.8786,824286.605,219.0,500,-281.0,112.6,42.182761,140.129031
-842112.3826,824873.1936,335.0,500,-165.0,114.6,42.185114,140.102553
-840529.8606,825380.06,181.0,500,-319.0,121.3,42.191972,140.119994
-838988.9627,824118.4264,315.0,500,-185.0,99.1,42.182491999999996,140.14003300000002
-838356.4299,829027.1446,179.0,500,-321.0,48.3,42.228542,140.138822
