x,y,keido,ido,hyoukou
-1970000,175000,129.7588992,33.76482679,43.0
-1970000,180000,129.74365509999998,33.81069305,17.0
-1970000,270000,129.465408,34.63412877,72.0
-1970000,275000,129.4497328,34.67975595,173.0
-1965000,-195000,130.87434840000003,30.34880131,61.7
-1965000,-125000,130.680933,31.00333012,-0.5
-1965000,-105000,130.6249716,31.18985793,34.0
-1965000,-100000,130.61093200000002,31.23645671,294.3
-1965000,-95000,130.5968726,31.28304224,48.3
-1965000,-70000,130.5262777,31.51577161,3.4
-1965000,-65000,130.5120989,31.56227791,99.6
-1965000,-60000,130.4978999,31.60877104,130.3
-1965000,-55000,130.48368090000002,31.65525102,149.9
-1965000,-50000,130.4694417,31.70171785,199.9
-1965000,-45000,130.4551824,31.74817155,331.0
-1965000,-40000,130.4409028,31.79461213,51.0
-1965000,-35000,130.4266029,31.84103961,86.3
-1965000,-30000,130.41228279999999,31.88745398,144.6
-1965000,-25000,130.39794229999998,31.93385527,144.0
-1965000,-20000,130.3835814,31.98024348,511.6
-1965000,-15000,130.3692,32.02661863,539.9
-1965000,-10000,130.3547982,32.07298072,26.2
-1965000,-5000,130.3403758,32.11932977,3.8
-1965000,25000,130.2534085,32.39715079,43.0
-1965000,30000,130.2388413,32.44340884,182.0
-1965000,50000,130.1803634,32.62831162,191.9
-1965000,55000,130.1656915,32.674504999999996,195.2
-1965000,70000,130.121549,32.81300777,130.6
-1965000,75000,130.1067925,32.85914961,1.0
-1965000,80000,130.09201470000002,32.90527858,129.6
-1965000,85000,130.0772156,32.9513947,819.5
-1965000,90000,130.06239509999997,32.99749799,495.6
-1965000,95000,130.0475533,33.04358844,288.5
-1965000,100000,130.03269,33.08966607,147.2
-1965000,105000,130.01780520000003,33.13573089,18.8
-1965000,110000,130.00289899999999,33.18178291,34.0
-1965000,115000,129.98797109999998,33.22782214,97.7
-1965000,120000,129.9730216,33.2738486,158.6
-1965000,125000,129.95805049999998,33.31986228,194.9
-1965000,130000,129.94305759999997,33.3658632,30.6
-1965000,135000,129.928043,33.41185138,83.3
-1965000,140000,129.9130066,33.45782681,113.0
-1965000,145000,129.8979483,33.50378952,85.0
-1965000,150000,129.8828682,33.5497395,74.0
-1965000,155000,129.86776609999998,33.59567678,10.0
-1960000,-190000,130.90669599999998,30.40956306,69.0
-1960000,-185000,130.8930157,30.456395399999998,184.0
-1960000,-120000,130.7134223,31.06399748,234.8
-1960000,-65000,130.5588775,31.57636833,2.5
-1960000,-60000,130.54470859999998,31.62286836,51.9
-1960000,-55000,130.53051969999999,31.66935524,163.9
-1960000,-50000,130.5163106,31.715829,255.0
-1960000,-45000,130.5020814,31.76228964,210.0
-1960000,-40000,130.487832,31.80873718,116.0
