x,y,curie
-787125.2612,895806.4131,7
-780451.4306,895563.6784,7
-1043649.79,236742.4698,6
-1035715.312,244439.2569,6
-1043448.819,251606.0492,6
-1053098.357,250019.1713,6
-1062908.287,243846.7826,6
-1055443.964,235715.0997,6
-1078934.399,140750.1321,6
-1086721.427,147897.6309,6
-1096412.481,142226.8243,6
-1102487.014,128958.3345,6
-1098597.835,116173.7785,6
-1084602.332,112541.8663,6
-1071820.065,120995.8207,6
-837250.6331,675786.3023,7
-839064.4034,669478.2166,7
-847531.7586,667562.066,7
-854045.3148,672442.0246,7
-849078.2925,677906.8466,7
-1943976.586,-12731.7791,8
-1933647.601,-14015.826,8
-1922201.122,-20277.6114,8
-1913007.484,-26602.9918,8
-1907434.401,-34505.38,8
-1913992.555,-48308.9967,8
-1924422.206,-41609.089,8
-1939061.869,-39769.5372,8
-1952331.186,-36410.2619,8
-1960375.561,-29261.1895,8
-1956082.285,-17072.5888,8
-1950081.959,-54873.6195,8
-1943850.048,-56425.9469,8
-1940829.376,-63923.1215,8
-1942849.05,-71781.2294,8
-1950079.256,-73391.9407,8
-1959640.72,-59614.1637,8
-1958026.169,-70148.163,8
-1602791.889,185389.2306,8
-1590536.415,183737.0048,8
-1579947.267,185302.5736,8
-1572454.08,189721.9365,8
-1564905.156,197239.164,8
-1565182.383,209378.9698,8
-1577782.908,218516.1755,8
-1584358.661,224340.5172,8
-1591672.697,233505.032,8
-1604208.75,239932.1435,8
-1612847.066,238977.9029,8
-1620371.351,228730.6417,8
-1630829.548,218969.9884,8
-1639459.355,209453.7248,8
-1646192.109,203274.4736,8
-1648191.192,195302.1117,8
-1639668.09,190048.2153,8
-1627334.799,187176.3306,8
-1613975.288,184790.6226,8
-1421437.09,177043.2982,8
-1411452.322,181205.9273,8
-1403766.301,187958.1428,8
-1400266.666,199769.5097,8
-1405868.429,211824.1549,8
-1417727.734,217505.5734,8
-1429927.375,220576.2253,8
-1442553.825,222224.3431,8
-1457574.081,226121.3897,8
-1465527.394,228786.011,8
-1478530.364,232127.5352,8
-1486025.031,220280.4563,8
-1486631.773,202187.6471,8
-1483124.714,193414.2565,8
-1477534.444,181334.4151,8
-1467399.728,174175.8006,8
-1453069.362,169325.7677,8
-1434252.548,173685.8852,8
-1297708.002,235547.6504,8
-1306148.037,230513.7366,8
-1314764.381,227858.6922,8
-1327707.818,226796.7448,8
-1337076.282,229015.1393,8
-1344284.711,234129.3693,8
-1345071.622,243277.9455,8
-1338294.555,251481.5517,8
-1330058.193,255785.3972,8
-1321231.46,259151.1866,8
-1307009.154,258690.9709,8
-1299664.943,257041.6764,8
-1292750.027,245037.6897,8
-1089849.029,26646.3208,8
-1090889.598,35314.6602,8
-1086061.328,44774.4083,8
-1077081.175,52026.8198,8
-1064163.572,59422.7048,8
-1054169.991,62603.0627,8
-1040565.779,72512.3025,8
-1012984.804,65894.4952,8
-1005994.798,59930.2968,8
-1014321.641,29990.2579,8
-1021969.164,24292.1317,8
-1028008.063,19715.6186,8
-1032520.623,210083.0183,8
-1041784.95,204791.0105,8
-1052661.134,199922.212,8
-1064876.931,185785.2868,8
-1068533.464,172888.9554,8
-1068968.191,156087.8469,8
-1065655.016,146393.1557,8
-1060522.028,135467.594,8
-1052453.841,118045.8201,8
-1051739.57,108281.8932,8
-1057077.315,100076.6376,8
-1067367.015,95827.968,8
-1076654.487,95155.9197,8
-1087055.439,95159.2142,8
-1106852.841,100290.5235,8
-1114927.425,110064.8119,8
-1117235.352,121799.8053,8
-1117924.748,131582.8904,8
-1114873.813,142313.149,8
-1110003.875,153340.6725,8
-1102909.542,166098.5723,8
-1094611.843,177008.0746,8
-1090136.477,189695.2167,8
-1085753.994,203569.4255,8
-1086204.975,215637.7673,8
-1084136.36,227435.9409,8
-1079807.832,247138.3301,8
-1069805.916,256472.9031,8
-1058136.473,259579.4528,8
-1045174.369,261194.0271,8
-1034921.281,263911.5455,8
-1025355.855,270287.8108,8
-1015267.671,281551.4702,8
-1004438.044,281812.7014,8
-993996.9695,285269.2985,8
-986863.7961,289204.2133,8
-978328.5388,293548.8679,8
-971083.5828,300934.1344,8
-962073.6657,300913.1885,8
-958297.2477,294531.1676,8
-954726.7047,285891.9653,8
-956365.1089,275517.4545,8
-961208.46,264432.0731,8
-966636.3993,258895.3476,8
-975697.6637,245052.6497,8
-988565.5841,234509.1362,8
-996406.5977,229603.4917,8
-1003844.877,226136.0955,8
-1013199.589,220472.0344,8
-1023560.053,215842.23,8
-905664.7808,348901.8421,8
-903151.2955,330486.7274,8
-904998.12,317839.0375,8
-910627.4758,308482.4586,8
-917531.3875,306783.8651,8
-924121.5519,309250.3877,8
